ID,Event Type,Timestamp,Value
110,logout,2024-12-14 05:32:36.416121,324.34
111,login,2024-07-31 11:57:36.416124,
112,login,2024-11-24 04:56:36.416127,
113,click,2024-01-01 11:19:36.416131,
114,login,2024-02-06 23:00:36.416134,
115,purchase,2024-09-17 13:15:36.416138,
116,view,2024-11-06 21:11:36.416141,
117,purchase,2024-11-04 05:00:36.416144,190.89
118,logout,2024-10-07 15:55:36.416147,433.23
119,click,2024-07-04 09:37:36.416151,
120,purchase,2024-04-20 23:35:36.416154,475.53
121,login,2024-07-31 07:02:36.416157,67.23
122,click,2024-07-14 01:22:36.416161,
123,logout,2024-03-21 10:02:36.416164,
124,click,2024-09-18 16:14:36.416168,113.29
125,purchase,2024-05-02 15:26:36.416171,
126,view,2024-03-14 00:06:36.416174,229.4
127,login,2024-02-15 14:38:36.416177,
128,view,2024-06-24 03:14:36.416181,470.43
129,login,2024-04-22 19:21:36.416184,168.04
130,purchase,2024-04-05 09:28:36.416188,367.46
131,click,2024-03-04 18:52:36.416192,
132,login,2024-03-18 11:24:36.416195,412.23
133,click,2024-10-20 09:30:36.416198,425.29
134,logout,2024-11-05 05:53:36.416202,181.85
135,logout,2024-03-04 12:52:36.416205,
136,view,2024-12-01 10:27:36.416209,
137,login,2024-12-17 10:41:36.416212,
138,view,2024-06-12 17:55:36.416215,
139,view,2024-11-03 00:51:36.416219,
140,login,2024-01-20 13:31:36.416222,264.08
141,purchase,2024-04-18 06:31:36.416225,441.13
142,click,2024-04-20 20:50:36.416230,
143,click,2024-09-20 11:15:36.416236,
144,purchase,2024-02-10 03:34:36.416242,393.24
145,view,2024-06-18 16:01:36.416249,
146,logout,2024-11-14 15:21:36.416253,483.71
147,login,2024-02-27 13:03:36.416256,297.68
148,view,2024-05-27 20:42:36.416259,174.81
149,logout,2024-04-25 15:55:36.416263,
150,logout,2024-02-07 18:00:36.416267,140.9
151,login,2024-05-23 13:52:36.416270,92.19
152,view,2024-05-15 14:54:36.416273,234.19
153,login,2024-07-30 00:56:36.416277,276.21
154,logout,2024-09-13 03:44:36.416280,
155,logout,2024-07-27 12:06:36.416283,
156,login,2024-05-23 10:08:36.416287,
157,click,2024-05-12 08:35:36.416290,
158,click,2024-07-26 16:45:36.416293,
159,purchase,2024-01-26 19:26:36.416297,
160,logout,2024-11-05 09:15:36.416300,
161,login,2024-09-18 04:24:36.416303,
162,click,2024-02-11 01:07:36.416306,
163,login,2024-03-26 06:36:36.416310,22.85
164,purchase,2024-12-15 05:44:36.416313,399.68
165,logout,2023-12-25 07:42:36.416317,273.93
166,login,2024-04-02 13:07:36.416320,149.95
167,view,2024-05-21 11:12:36.416323,208.34
168,login,2024-12-17 08:56:36.416327,
169,logout,2024-11-29 19:41:36.416333,
170,purchase,2024-01-23 08:16:36.416339,472.17
171,logout,2024-04-09 17:04:36.416345,
172,login,2024-03-27 18:55:36.416351,
173,purchase,2024-04-15 16:02:36.416357,186.26
174,click,2024-09-14 06:41:36.416362,
175,view,2024-07-17 14:37:36.416365,231.28
176,purchase,2024-10-13 12:22:36.416369,
177,purchase,2024-06-20 10:57:36.416372,
178,login,2024-02-15 04:28:36.416375,386.12
179,purchase,2024-12-15 19:24:36.416379,359.93
180,purchase,2024-12-13 17:28:36.416382,
181,login,2024-03-29 00:34:36.416386,167.23
182,purchase,2024-09-22 11:13:36.416389,473.2
183,logout,2024-06-27 16:24:36.416392,
184,logout,2024-02-23 20:48:36.416396,148.08
185,view,2024-01-29 20:28:36.416399,
186,login,2024-04-04 02:23:36.416403,482.7
187,click,2024-02-06 16:27:36.416406,403.13
188,logout,2024-12-19 09:50:36.416409,
189,logout,2024-09-26 12:40:36.416413,
190,view,2024-06-03 06:28:36.416416,82.7
191,login,2024-04-21 04:27:36.416420,154.36
192,view,2024-04-11 13:01:36.416423,
193,logout,2024-09-05 14:49:36.416426,237.26
194,login,2024-07-03 21:54:36.416430,95.18
195,logout,2024-08-10 02:53:36.416433,384.52
196,view,2024-08-11 15:20:36.416436,30.59
197,login,2024-02-25 01:39:36.416439,
198,logout,2024-12-15 16:08:36.416443,375.09
199,login,2024-01-24 08:47:36.416446,
200,click,2024-04-29 13:45:36.416449,342.8
201,purchase,2024-03-28 14:58:36.416453,476.02
202,click,2024-06-18 14:14:36.416457,
203,purchase,2024-06-30 07:57:36.416460,183.76
204,view,2024-02-21 12:37:36.416463,415.2
205,purchase,2024-11-04 05:57:36.416467,
206,view,2024-11-19 20:18:36.416470,372.07
207,view,2024-12-11 03:12:36.416473,442.76
208,login,2024-11-08 14:54:36.416477,323.96
209,purchase,2024-03-10 17:21:36.416480,
210,purchase,2024-01-31 11:10:36.416484,
211,view,2024-07-09 23:00:36.416487,
212,view,2024-01-21 22:14:36.416490,
213,view,2024-05-14 07:13:36.416494,
214,view,2024-02-24 09:03:36.416497,
215,login,2024-08-07 02:00:36.416500,68.04
216,view,2024-08-28 14:05:36.416504,316.07
217,logout,2024-04-02 14:44:36.416507,201.71
218,purchase,2024-07-08 18:08:36.416510,
219,click,2024-11-20 16:37:36.416514,219.98
220,purchase,2024-02-12 11:25:36.416517,
221,click,2024-02-24 02:36:36.416520,
222,view,2024-06-09 16:45:36.416524,224.34
223,login,2024-10-20 12:24:36.416527,196.09
224,logout,2024-09-01 09:34:36.416530,
225,view,2024-08-17 10:34:36.416533,239.49
226,purchase,2024-07-08 01:31:36.416537,
227,login,2024-12-08 16:31:36.416540,478.37
228,logout,2024-02-28 12:45:36.416543,
229,logout,2024-04-20 06:11:36.416547,
230,purchase,2024-01-06 14:35:36.416550,489.22
231,purchase,2024-10-27 09:58:36.416554,
232,view,2024-06-20 13:28:36.416558,
233,click,2024-10-14 08:28:36.416561,
234,purchase,2024-05-22 03:56:36.416565,163.71
235,purchase,2024-09-03 01:01:36.416569,
236,logout,2024-06-24 13:57:36.416572,303.6
237,login,2024-06-07 18:02:36.416575,403.3
238,logout,2024-11-01 17:41:36.416578,
239,view,2023-12-30 18:34:36.416582,86.77
240,click,2024-08-07 00:15:36.416585,416.3
241,logout,2024-12-04 06:29:36.416589,360.13
242,view,2024-08-19 11:50:36.416592,344.62
243,purchase,2024-03-07 00:37:36.416595,415.57
244,click,2024-11-01 10:28:36.416599,126.38
245,purchase,2023-12-24 05:08:36.416602,470.48
246,login,2024-07-10 04:32:36.416606,
247,click,2024-03-26 04:17:36.416609,465.6
248,purchase,2024-04-13 16:08:36.416612,
249,click,2024-07-29 04:53:36.416616,
250,view,2024-01-22 22:51:36.416619,284.95
251,view,2024-06-03 08:23:36.416622,
252,logout,2024-09-09 21:19:36.416626,
253,purchase,2024-04-22 19:01:36.416629,
254,click,2024-08-17 23:00:36.416633,
255,view,2024-08-24 22:28:36.416636,
256,logout,2024-05-16 09:45:36.416639,
257,login,2024-04-25 18:24:36.416642,175.2
258,view,2024-04-28 18:11:36.416648,149.49
259,login,2024-11-21 00:50:36.416654,
260,login,2024-09-28 12:58:36.416660,
261,purchase,2023-12-25 07:01:36.416666,
262,click,2024-05-22 18:47:36.416669,
263,purchase,2024-03-26 08:13:36.416673,
264,view,2024-04-19 12:39:36.416676,159.47
265,view,2024-09-02 20:30:36.416679,89.2
266,login,2024-06-12 10:44:36.416683,
267,login,2024-07-19 18:31:36.416688,
268,view,2024-09-22 12:29:36.416694,
269,logout,2024-05-10 20:48:36.416699,
270,view,2024-07-11 06:56:36.416705,
271,login,2024-09-18 16:43:36.416719,318.9
272,purchase,2024-06-15 18:12:36.416724,208.95
273,click,2024-07-16 02:32:36.416728,465.02
274,click,2024-05-19 06:30:36.416731,239.3
275,logout,2024-11-10 20:32:36.416734,243.88
276,login,2024-12-20 01:46:36.416737,381.0
277,view,2024-06-21 02:24:36.416741,
278,login,2024-10-09 00:52:36.416744,43.0
279,logout,2024-04-22 16:09:36.416747,410.73
280,logout,2024-06-19 17:39:36.416751,8.07
281,login,2024-01-02 16:28:36.416754,
282,click,2024-02-19 08:01:36.416757,
283,view,2024-03-08 02:58:36.416761,
284,logout,2024-10-23 06:05:36.416764,
285,view,2024-11-09 04:25:36.416768,
286,purchase,2024-07-05 19:02:36.416771,
287,purchase,2024-05-11 01:29:36.416774,456.63
288,login,2024-02-03 01:44:36.416777,
289,view,2024-05-31 14:42:36.416781,319.51
290,purchase,2024-10-03 10:42:36.416784,
291,purchase,2024-05-09 23:03:36.416788,495.53
292,view,2024-05-01 05:24:36.416791,
293,logout,2024-10-18 19:48:36.416794,
294,logout,2024-03-17 15:32:36.416797,
295,login,2024-11-06 23:02:36.416801,
296,purchase,2024-04-02 17:49:36.416804,
297,logout,2024-05-03 15:18:36.416808,192.49
298,click,2024-04-28 12:36:36.416811,
299,view,2024-06-06 17:44:36.416814,158.83
300,click,2024-07-11 16:09:36.416818,414.64
301,purchase,2024-03-19 01:07:36.416821,
302,login,2024-12-02 02:07:36.416824,83.34
303,purchase,2024-11-21 07:34:36.416828,43.84
304,view,2024-04-22 15:49:36.416831,
305,logout,2024-12-19 17:13:36.416835,
306,logout,2024-10-13 11:56:36.416838,183.87
307,logout,2024-05-13 13:29:36.416841,227.85
308,click,2024-04-03 21:28:36.416844,257.4
309,purchase,2024-05-01 11:40:36.416848,215.4
310,click,2024-03-07 21:52:36.416852,
311,view,2024-04-19 07:31:36.416856,
312,purchase,2024-07-08 04:27:36.416859,
313,login,2024-10-19 19:57:36.416862,323.52
314,purchase,2024-10-30 17:36:36.416866,214.53
315,click,2024-07-09 06:27:36.416869,247.81
316,click,2024-05-10 07:55:36.416873,397.1
317,logout,2024-02-18 01:11:36.416876,420.42
318,purchase,2024-07-14 14:02:36.416879,465.65
319,purchase,2024-05-26 15:42:36.416883,
320,view,2024-03-13 05:25:36.416886,
321,purchase,2024-10-09 16:09:36.416889,
322,view,2024-10-02 19:22:36.416893,122.76
323,logout,2024-01-19 18:09:36.416896,
324,view,2024-11-07 20:10:36.416899,24.43
325,view,2024-04-08 10:00:36.416905,
326,click,2024-04-15 09:40:36.416911,220.79
327,purchase,2024-11-09 19:17:36.416917,
328,logout,2024-08-28 12:08:36.416924,246.3
329,click,2024-05-09 22:32:36.416929,461.42
330,click,2024-11-04 05:42:36.416932,225.73
331,click,2024-04-08 08:29:36.416936,
332,login,2024-07-30 15:01:36.416939,320.32
333,purchase,2024-01-16 09:10:36.416943,
334,view,2024-02-17 11:32:36.416946,
335,logout,2024-05-07 17:42:36.416950,
336,login,2024-11-16 11:24:36.416953,
337,login,2024-10-23 23:28:36.416957,225.21
338,view,2024-09-13 23:33:36.416963,356.54
339,purchase,2024-01-28 12:08:36.416968,192.98
340,view,2024-08-20 13:54:36.416975,
341,view,2024-09-17 06:27:36.416989,
342,login,2024-09-21 03:34:36.416992,70.78
343,click,2024-10-06 17:36:36.416995,320.59
344,view,2024-11-22 12:14:36.416998,
345,click,2024-06-04 10:06:36.417002,
346,logout,2024-11-04 13:04:36.417005,299.5
347,view,2024-07-01 16:43:36.417008,
348,logout,2023-12-23 19:54:36.417012,72.34
349,purchase,2024-11-23 06:22:36.417015,
350,click,2024-07-08 19:39:36.417019,166.65
351,logout,2024-04-20 06:13:36.417022,
352,login,2024-08-12 17:39:36.417026,405.53
353,logout,2024-07-31 12:49:36.417029,
354,click,2024-07-08 15:31:36.417033,171.3
355,view,2024-12-11 08:01:36.417037,303.42
356,purchase,2024-09-25 02:56:36.417040,365.56
357,logout,2024-12-17 05:25:36.417043,315.82
358,purchase,2024-03-11 16:29:36.417047,462.04
359,purchase,2024-08-07 06:03:36.417050,
360,purchase,2024-12-17 15:38:36.417054,241.13
361,purchase,2024-02-15 22:00:36.417060,157.0
362,logout,2024-11-11 04:26:36.417066,228.91
363,purchase,2024-09-08 12:56:36.417071,104.9
364,view,2024-05-20 13:52:36.417086,295.57
365,click,2024-11-30 11:51:36.417092,
366,logout,2024-08-01 08:18:36.417098,
367,click,2024-05-10 23:36:36.417103,
368,view,2024-06-25 20:23:36.417109,
369,login,2024-01-22 09:47:36.417115,
370,login,2024-03-23 19:22:36.417126,127.17
371,view,2024-07-18 04:13:36.417132,231.98
372,click,2024-07-26 15:46:36.417138,399.04
373,logout,2024-07-15 12:57:36.417144,463.39
374,logout,2024-04-05 09:07:36.417149,290.07
375,logout,2023-12-24 04:05:36.417153,146.42
376,login,2024-03-11 13:02:36.417156,
377,view,2024-01-16 16:03:36.417160,
378,logout,2023-12-24 21:13:36.417163,
379,view,2024-11-02 11:18:36.417167,301.79
380,login,2024-11-18 18:56:36.417170,
381,click,2024-12-10 12:47:36.417173,384.03
382,login,2024-06-10 04:52:36.417177,
383,purchase,2024-09-13 22:00:36.417180,
384,login,2024-06-16 00:58:36.417183,
385,click,2024-08-30 19:49:36.417186,253.26
386,logout,2024-06-25 16:03:36.417190,104.04
387,view,2024-01-29 08:11:36.417193,58.24
388,login,2024-05-07 08:28:36.417196,146.07
389,view,2024-11-11 17:16:36.417200,417.72
390,click,2024-06-20 16:46:36.417203,
391,click,2024-11-08 06:47:36.417207,289.85
392,purchase,2024-07-31 01:16:36.417210,
393,view,2024-06-29 03:26:36.417214,
394,click,2024-10-21 05:24:36.417217,316.54
395,login,2024-11-14 14:13:36.417220,
396,click,2024-08-10 02:18:36.417224,
397,logout,2024-11-29 12:50:36.417227,
398,view,2024-06-08 22:18:36.417230,47.22
399,purchase,2024-10-03 11:24:36.417234,
400,purchase,2024-08-05 21:18:36.417237,51.11
401,login,2024-08-29 04:38:36.417241,282.52
402,login,2024-05-19 15:24:36.417246,160.57
403,login,2024-08-20 16:23:36.417249,462.06
404,login,2024-08-26 07:23:36.417253,
405,logout,2024-04-26 02:12:36.417256,113.29
406,click,2024-03-28 17:45:36.417259,
407,purchase,2024-04-02 12:42:36.417263,288.01
408,view,2024-07-22 06:44:36.417267,
409,purchase,2024-03-06 09:15:36.417273,
410,click,2024-02-13 09:45:36.417279,
411,click,2024-01-05 15:41:36.417286,213.25
412,logout,2024-11-21 21:01:36.417301,
413,click,2024-03-04 06:08:36.417306,
414,click,2024-09-19 15:16:36.417312,326.82
415,login,2024-07-26 16:19:36.417325,
416,view,2024-01-31 17:07:36.417340,
417,logout,2024-03-08 06:23:36.417346,413.18
418,logout,2024-11-05 04:40:36.417352,
419,purchase,2024-02-02 06:46:36.417357,
420,login,2024-08-30 22:56:36.417362,
421,purchase,2024-01-12 03:45:36.417368,
422,login,2024-08-14 21:50:36.417373,
423,logout,2024-09-16 22:57:36.417379,456.5
424,view,2024-10-31 20:53:36.417385,149.62
425,login,2024-04-03 19:46:36.417390,57.97
426,view,2024-08-01 09:57:36.417393,
427,view,2024-05-01 19:32:36.417397,
428,logout,2023-12-27 21:49:36.417401,15.24
429,view,2024-12-01 18:56:36.417407,
430,click,2023-12-29 18:48:36.417413,303.67
431,login,2024-04-23 12:26:36.417418,490.89
432,purchase,2024-05-09 16:50:36.417424,
433,login,2024-07-22 16:03:36.417438,
434,logout,2024-09-04 08:24:36.417443,
435,click,2024-08-12 20:49:36.417446,
436,login,2024-06-17 20:19:36.417449,31.2
437,logout,2024-06-03 12:24:36.417453,
438,click,2024-08-27 10:49:36.417456,
439,login,2024-01-04 16:54:36.417460,156.8
440,logout,2024-04-07 21:45:36.417463,
441,login,2024-02-26 20:48:36.417467,18.26
442,login,2023-12-29 21:33:36.417470,
443,click,2024-07-31 08:42:36.417474,
444,click,2024-08-05 06:06:36.417477,
445,login,2024-08-12 15:06:36.417480,
446,click,2024-03-08 07:57:36.417483,346.35
447,purchase,2024-09-10 13:06:36.417487,231.25
448,view,2024-06-09 16:31:36.417490,391.19
449,logout,2024-09-01 03:31:36.417494,238.02
450,login,2024-04-03 01:13:36.417497,
451,logout,2024-01-25 04:56:36.417500,
452,view,2024-10-29 18:48:36.417504,
453,login,2024-10-02 15:11:36.417507,
454,purchase,2024-11-15 06:27:36.417511,
455,click,2024-03-02 06:09:36.417514,
456,view,2024-10-13 13:04:36.417517,190.98
457,login,2024-03-25 13:26:36.417520,
458,view,2024-12-10 11:04:36.417525,61.99
459,click,2024-09-24 12:21:36.417529,
460,click,2024-02-24 05:39:36.417532,314.79
461,login,2024-12-07 10:11:36.417535,133.06
462,logout,2024-03-30 18:46:36.417538,
463,click,2024-12-11 02:13:36.417542,
464,click,2024-06-20 15:32:36.417545,176.98
465,click,2024-09-25 09:59:36.417549,399.16
466,click,2024-07-10 12:27:36.417552,
467,purchase,2024-07-27 16:46:36.417556,
468,click,2024-02-04 03:23:36.417559,122.68
469,login,2024-04-17 02:02:36.417563,
470,purchase,2024-07-22 20:35:36.417566,
471,view,2024-06-08 10:16:36.417570,
472,view,2024-07-28 22:54:36.417573,242.63
473,click,2024-05-24 07:31:36.417576,29.77
474,logout,2024-04-10 20:44:36.417580,
475,logout,2024-04-20 20:52:36.417583,
476,logout,2024-05-25 00:42:36.417586,494.55
477,view,2023-12-23 19:00:36.417590,
478,click,2024-09-25 06:27:36.417593,265.29
479,purchase,2024-10-04 12:19:36.417596,
480,logout,2024-01-31 09:24:36.417600,199.8
481,logout,2024-12-16 20:36:36.417603,
482,view,2024-12-04 03:32:36.417606,
483,purchase,2024-03-31 09:06:36.417610,
484,login,2024-01-27 11:17:36.417613,
485,logout,2024-02-22 05:30:36.417617,321.52
486,login,2024-11-03 05:48:36.417620,123.17
487,login,2024-03-07 00:45:36.417624,
488,purchase,2024-06-30 13:36:36.417627,
489,view,2024-12-13 13:07:36.417630,
490,view,2024-07-06 12:27:36.417634,
491,login,2024-04-07 00:18:36.417637,
492,view,2024-09-22 03:24:36.417641,426.34
493,login,2024-06-13 02:34:36.417644,166.15
494,purchase,2024-03-05 09:07:36.417647,256.38
495,login,2024-05-02 09:37:36.417651,
496,login,2024-11-08 15:23:36.417654,434.28
497,login,2024-08-25 04:08:36.417657,
498,view,2024-11-05 00:25:36.417661,
499,purchase,2024-08-26 12:53:36.417664,
500,logout,2024-08-03 05:42:36.417667,
501,view,2024-03-18 11:15:36.417671,
502,purchase,2024-03-15 07:58:36.417674,499.53
503,click,2024-04-08 06:34:36.417677,
504,login,2024-01-31 00:52:36.417681,
505,login,2024-11-02 19:47:36.417684,
506,click,2024-11-28 13:07:36.417688,
507,view,2024-03-04 20:57:36.417691,
508,purchase,2024-12-22 07:45:36.417694,
509,purchase,2024-08-19 13:45:36.417698,476.52
510,login,2024-06-16 03:04:36.417701,
511,click,2024-05-19 12:11:36.417704,282.1
512,click,2024-04-04 00:24:36.417708,
513,click,2024-05-27 01:24:36.417711,
514,login,2024-04-23 14:15:36.417716,58.72
515,logout,2024-09-25 06:37:36.417722,
516,logout,2024-08-02 02:55:36.417729,
517,login,2024-05-07 18:05:36.417745,406.02
518,view,2024-03-20 17:29:36.417749,470.3
519,logout,2024-02-27 10:34:36.417752,
520,login,2024-10-10 20:26:36.417755,175.77
521,login,2024-03-13 23:46:36.417759,192.42
522,purchase,2024-11-05 19:42:36.417763,
523,login,2024-12-18 23:47:36.417766,
524,purchase,2024-03-18 06:55:36.417770,
525,purchase,2024-01-24 17:15:36.417773,
526,view,2024-01-22 13:00:36.417776,194.24
527,logout,2024-04-19 13:05:36.417780,
528,logout,2024-07-13 02:46:36.417783,
529,click,2024-07-30 05:26:36.417786,
530,purchase,2024-05-02 10:29:36.417790,
531,login,2024-06-03 12:08:36.417793,454.41
532,click,2024-01-01 17:59:36.417796,175.4
533,login,2024-02-23 13:04:36.417800,456.37
534,purchase,2024-07-27 00:54:36.417803,
535,purchase,2024-04-22 08:52:36.417807,268.34
536,view,2024-07-16 18:05:36.417810,310.42
537,click,2024-10-27 20:15:36.417813,168.45
538,logout,2024-11-03 01:36:36.417816,349.23
539,login,2024-04-09 22:40:36.417820,
540,click,2024-09-08 03:05:36.417823,
541,purchase,2024-09-06 10:58:36.417826,
542,view,2024-03-24 21:40:36.417830,
543,view,2024-06-14 00:46:36.417833,
544,view,2024-06-17 16:01:36.417837,
545,logout,2024-11-25 10:17:36.417840,252.71
546,purchase,2024-07-21 14:45:36.417843,
547,view,2024-10-11 17:13:36.417846,
548,click,2024-10-05 18:54:36.417850,
549,logout,2024-12-06 14:43:36.417853,97.19
550,login,2024-10-19 07:42:36.417856,162.16
551,purchase,2024-11-30 03:52:36.417860,
552,purchase,2024-10-23 23:33:36.417863,206.31
553,purchase,2024-10-27 23:28:36.417866,243.87
554,purchase,2024-07-09 19:39:36.417869,75.99
555,click,2024-12-18 14:53:36.417873,
556,logout,2024-11-12 05:56:36.417876,
557,purchase,2024-09-22 07:56:36.417879,
558,click,2024-06-11 09:00:36.417882,
559,click,2024-07-25 16:46:36.417886,391.9
560,view,2024-10-16 18:00:36.417889,
561,view,2024-10-12 09:45:36.417893,
562,purchase,2024-09-26 10:35:36.417896,455.91
563,click,2024-03-21 18:53:36.417899,
564,view,2024-03-18 12:16:36.417904,476.38
565,click,2024-07-09 18:58:36.417907,
566,login,2024-07-14 08:55:36.417911,12.17
567,click,2024-07-27 12:57:36.417914,
568,purchase,2024-03-15 09:21:36.417917,
569,login,2024-09-19 04:09:36.417920,246.39
570,logout,2024-06-21 15:37:36.417924,426.44
571,logout,2024-07-29 12:31:36.417927,
572,login,2024-03-28 07:56:36.417930,
573,logout,2024-11-14 01:40:36.417934,175.62
574,click,2024-03-05 22:11:36.417937,489.35
575,logout,2024-01-13 01:30:36.417940,
576,view,2024-12-13 07:42:36.417944,213.84
577,click,2024-01-31 22:29:36.417947,
578,click,2024-08-19 03:22:36.417951,150.54
579,login,2024-06-26 05:59:36.417954,129.03
580,logout,2024-09-14 15:01:36.417957,
581,view,2024-12-02 23:34:36.417961,409.56
582,purchase,2024-11-08 14:31:36.417964,206.59
583,logout,2024-07-04 06:13:36.417967,
584,logout,2024-06-26 19:26:36.417970,
585,logout,2024-11-07 01:14:36.417974,
586,login,2023-12-29 10:47:36.417977,127.64
587,login,2024-10-08 06:45:36.417981,78.23
588,click,2023-12-26 17:10:36.417984,418.35
589,click,2024-06-21 08:36:36.417988,13.58
590,logout,2024-04-08 17:17:36.417991,
591,purchase,2024-08-19 12:01:36.417995,12.91
592,logout,2024-01-02 16:02:36.417998,478.64
593,logout,2024-12-21 05:32:36.418001,
594,click,2024-10-13 22:28:36.418006,
595,login,2024-04-11 04:36:36.418010,272.09
596,purchase,2024-05-07 14:01:36.418013,
597,login,2024-08-04 13:19:36.418016,496.91
598,login,2024-12-08 09:41:36.418020,202.19
599,purchase,2024-09-06 15:04:36.418023,167.63
600,view,2024-01-08 01:04:36.418026,404.58
601,login,2024-05-22 23:45:36.418030,
602,login,2024-04-12 11:20:36.418035,225.1
603,login,2023-12-24 22:41:36.418041,20.95
604,view,2024-02-03 15:28:36.418046,
605,view,2024-05-26 15:25:36.418052,
606,click,2024-08-05 08:01:36.418058,
